Grocery store brand,Area,Apple 1 brand,Apple 1 price,Apple 2 brand,Apple 2 price,Apple 3 brand,Apple 3 price,Banana 1 brand,Banana 1 price ,Banana 2 brand,Banana 2 price ,Banana 3 brand,Banana 3 price ,Tomatoes 1 brand,Tomatoes 1 price ,Tomatoes 2 brand,Tomatoes 2 price,Tomatoes 3 brand,Tomatoes 3 price ,Potatos 1 brand,Potatos 1 price,Potatos 2 brand,Potatos 2 price ,Potatos 3 brand,Potatos 3 price ,Flour 1 brand,Flour 1 price ,Flour 2 brand,Flour 2 price ,Flour 3 brand,Flour 3 price ,Rice 1 brand,Rice 1 price ,Rice 2 brand,Rice 2 price ,Rice 3 brand,Rice 3 price ,Milk 1 brand,Milk 1 price ,Milk 2 brand,Milk 2 price ,Milk 3 brand,Milk 3 price ,Butter 1 brand,Butter  1 price ,Butter 2 brand,Butter  2 price ,Butter  3 brand,Butter 3 price ,Eggs 1 brand,Eggs 1 price ,Eggs  2 brand,Eggs  2 price ,Eggs 3 brand,Eggs  3 price ,Chicken 1 brand,Chicken  1 price ,Chicken  2 brand,Chicken  2 price ,Chicken  3 brand,Chicken  3 price 
2,1,Rote tafelapfel,1.99,Rote tafelapfel gale,2.99,Snackapfel,1.89,Rewe beste wahi,1.59,Chiquita,1.69,NA,NA,Rewe regional rise,2.79,Feline welt,3.99,Cherry Rispentomate,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Basmati,7.2,Jasmi,7.2,Mexxikan,7.2,Eel milch ja!,0.69,Landfr milch mark brandnb,1.15,Gvo frei,0.79,Irische butter,2.39,Beste butter,2.25,Weidebutter,2.09,Eier freiland,3.27,Bodenhalttung,3.38,Freil weiss,2.82,Rewe,13.98,NA,NA,NA,NA
4,1,Edeka,1.99,Kanzi,1.99,Demeter,2.49,Edeka,1.99,Demeter,1.99,NA,NA,Edeka,4.98,Edeka Cherry,5.96,no brand,1.99,Edeka,0.64,Laura,1,Demeter,2.99,Nordzucker,1.99,Edeka,0.35,Aurora,1.69,Uncle Ben,3.98,Edeka,0.98,Wurzener,2.78,Hemme,1.29,Landliebe,1.39,Alnatura,1.29,Weinhenstephan,5.18,Kerrygold,4.78,President,5.98,Edeka,3.99,Luisenhof,2.19,Demeter,6.98,Hkla,11.9,NA,NA,NA,NA
2,6,Rewe,1.99,Birnen,0.99,Rewe Bio,4.98,Chiqita,1.69,Rewe,1.79,Rewe Bio,1.09,Rewe,2.19,Rewe Bio,2.99,NA,NA,Rewe,0.85,Rewe Bio,0.88,NA,NA,Ja!,0.35,Wurzener,0.89,Diamant,1.38,Wurzener,1.29,Reis fit,1.89,NA,NA,Rewe,0.99,Hemme,1.19,Ja!,0.69,Marina,0.98,Rewe,2.58,Landliebe,3.58,Rewe,4.9,Ja!,1.29,no brand,3.24,WB,6.99,no brand,9.99,NA,NA
3,12,Apfel pink lady/ s.etikett,2.79,Apfel rot/ etikett,2.39,Apfel braeburn/ Etikett,1.39,Gut bio,1.69,Bananen,1.09,NA,NA,Bio Cherrytomaten gut bio,1.19,Bio rispentomaten,1.99,Mini roma rispentomaten,1.69,Bio Speisekartoffeln,1.89,Speisekartoffeln,1.59,Kleine Kartoffeln,1.39,Gut bio dinkenmehl,1.75,Gut Bio weizenmehl,0.95,Goldharen weizenmehl,0.35,Reis im kochbeutel,0.49,Parboiled reis,0.89,Jasmin reis,1.89,Frische Vollmilch,0.69,Frische Fettarme Milch,0.61,Frische Weisemilch,0.99,Maelkebotte Gesalzem,6.76,Maelkebotte ungesalzen,6.76,Kerrygold,6.76,Frische Erier aus,1.39,Eier aus bodenhaltung,1.29,Freandhalymtung,1.69,Metzgerei,6.29,Gutbio,19,NA,NA
1,4,Apfel rot lose,2.99,Apfel rot,1.99,Apfel pink lady lose,2.49,Banana lose,0.99,Fairtrade bio bananen,1.69,NA,NA,Romatometen,1.79,Mini gemuse mix tomate,2.29,Cherry Strautomaten,2.79,Speisekartoffeln vorwiegend,1.69,Festkochend,1.45,Bio festkochend,1.79,Bio Dinkelmehl,1.75,Bio Weizenmehl,0.95,Volkorn Dinkelmehl,1.39,Basmati,1.99,Paraboiled spitzenreis,0.89,Thai Jasmine,1.89,Milbona,0.69,Baren Marke,1.25,Hermme Milch,1.29,Mark Brandenburg,4.38,Kerrygold,4.78,Golden Hills,4.3,Bodenhaltung,1.59,Aus Bodenhaltung,1.98,Frusche Eier,1.69,Landjunker,6.29,NA,NA,NA,NA
2,1,Pink Lady,3.98,Rewe Regional Rote Tal_pfel,1.99,Rewe Beste Wahl Snack Apfel Gala Royal,1.79,Chiquita,1.69,Rewe Beste Wahl,1.49,SÙss und Samtig,1.09,Edle Ernte Cherry SÙsse Versuchung,18.1,Rewe Rispentomaten,2.19,Rewe Regional Rispentomaten,4.29,Rewe Speisekartoffeln,0.5,Rewe Beste Wahl Speisekartoffel,0.88,Lilly Speisekartoffeln mehlkochend,1.49,ja!,0.35,NA,NA,NA,NA,ja! Langkorn Spitzenreis,0.89,Uncle Ben's Kochbeutel,3.98,Rewe Jasmin Duftreis,1.98,ja!,0.69,Rewe Bio,1.15,Mark Brandens,1.15,Meggle Alpenbutter,4.98,Du Darfst leichte Butter,2.59,Kaergarden ungesalzen,4.38,ja! Bio Eier FÙrstenhof,3.98,Rewe Bio Spitz und Bube,4.9,Rewe Eier Freilandhaltung,3.18,Rewe Bio,29.9,Wilhelm Brandenburg,9.99,NA,NA
1,6,XXL Jonagold Apfel rot,0.66,Bio Organic Santana Apfel,3.13,Ambrosia Apfel Rot,2.49,Tucan,1.09,NA,NA,NA,NA,Mondial Strauchtomaten Lose,1.49,Barther Strauchtomaten,3.68,no brand,7.97,no brand,1.45,no brand,1.69,no brand,1.79,Belbake Bio,0.35,Belbake,0.35,NA,NA,Golden Sun Parboiled Reis,0.89,Golden Sun Thai Jasmin,1.89,Golden Sun Basmati Reis,1.99,B_renmarke,1.25,Milbona Weide,0.89,Hemme,1.15,Kaergarden ungesalzen,4.38,Sodergarden ungesalzen,3.38,Kerrygold,3.78,Bio Organic,2.75,Landkost Ei Bodenhaltung,1.55,Landkost Ei Freilandhaltung,2.03,Landjunker,6.48,NA,NA,NA,NA
4,5,Demeter,0.66,tafelapfel,2.99,Bio,3.62,Eedeka,1.99,Mini edeka,4,NA,NA,Bio,6,Mini edeka,4,Edeka,1.99,BauerÍs beset,1.2,Bio,1.19,Edeka,1.99,Bio,1.39,Weizen,0.35,Aurora,1.69,Bio,4.39,Oryza,5.98,NA,NA,Bio,1.29,Lac,1.39,Frische,1.09,Kerrygold,4.78,Sonja,0.78,Bio,4.78,Bio,3.99,River frische,1.29,Luisenhof,2.29,Hahnchen,8.74,Friki,12.99,NA,NA
1,4,Bio organic,3.65,No brand,1.25,Golden Delicious,2.49,Fairtrade,1.69,No brand,1.09,NA,NA,Bio organic,3.98,Belgien,1.99,No brand,1.99,Festkochend,0.73,No brand,0.68,NA,NA,Bio organic,0.95,Belbake,0.35,Volkorn,1.39,Golden Sun,1.89,No brand,0.98,NA,NA,Barenmark,1.25,Milbona,0.69,Bio organic,1.05,Kerrygold,4.78,Milbona,4.78,Sachsen,3.98,Bio organic,3.35,Freiland Haltung,2.03,No brand,1.55,Landjunker,6.48,Bio organic,7.5,NA,NA
2,5,rewe,1.83,bio,2.99,NA,NA,rewe,1.49,bio,1.79,chiquita,1.99,bio,5.58,rewe,2.29,NA,NA,no brand,0.72,bio,2.29,NA,NA,diamant,1.38,ja,0.35,bio,0.99,uncle bens,3.89,oryza,2.89,davert,3.89,ja,0.61,halbare,1.29,volmilch,1.09,ja,3.58,bio,5,kerrygold,3.58,rewe,2.35,,,,,wilhelm,10.26,bio,29,rewe,9.99
2,1,talapfel gale,1.95,Gutbio,3.1,Snackapfel,1.9,Rewe beste wahi,1.65,Chiquita,1.69,No Brand,0.89,Rewe,2.85,Feline welt,4.05,Cherry Rispentomate,2.39,Kartoffeln,1.45,Kartoffeln II,1.55,NA,NA,Gutbio,1.75,Gutbio weizenmehl,1.8,NA,NA,Basmati,2.1,Jasmin,1.5,Mexxikan,1.5,Eel milch,0.89,Landfr milch,1.15,Gvo frei,0.95,Irische butter,4.39,Beste butter,4.25,Weidebutter,4.09,Eier freiland,3.27,Bodenhalttung,3.38,Freil weiss,2.82,Rewe,8.67,Gutbio,8.79,NA,NA
3,3,Apfel,4.3,Kissed by Nature,1.99,Gutbio,2.79,Bio fairtrade bananen,1.75,Chiquita,1.79,NA,NA,Rispentomaten,3.95,Gutbio,3.55,No brand,2.29,Schmackhaft kartoffeln,1.39,Kartoffeln aus Brandenburg,1.45,NA,NA,Gold_hren,0.8,Gutbio dinkelmehl,1.8,Gutbio weizenmehl,0.89,parboiled,0.89,Jasmin,1.5,Basmati,1.99,Alpenmilch,0.95,Meierkamp,0.61,Milsani,0.69,Kerrygold,4.38,Maelkebotte,3.4,Kerrygold extra,3.8,Hofland,1.28,Gutbio,2.8,Gutbio Brown,3.3,Gutbio,7,Maine metzgerei,6.99,Fair&gut,8
4,3,Braeburn,0.66,Edeka,2.99,Naturlich Bio,3.62,Naturlich bio,1.99,Edeka,1.09,NA,NA,Naturlich bio,4.58,no brand,1.99,NA,NA,Speisekartoffeln,1.99,Speisekartoffeln,1,Naturlich bio,1.33,Schapfen Muhle,2.49,Muller's Muhle,3.58,Alnatura,0.99,Edeka Basmati Reis,1.99,Edeka Parboiled Reis,1.98,Uncle Ben's Basmati & Jasmin Reis,5.98,Edeka,0.69,Edeka Bio,1.05,Hemme Milch,1.29,Kerrygold,3.58,Rama,1.98,President,5.98,Luisenhof,2.98,Edeka,1.55,,,Stolle,9.99,no brand,9.99,NA,NA
